Nome,Gênero,Avaliacao
O Poderoso Chefão,Crime;Drama,5
O Resgate do Soldado Ryan,Guerra;Drama,4
Matrix,Sci-Fi;Ação,5
Pulp Fiction,Crime;Drama,4
Interestelar,Sci-Fi;Aventura,5
Vingadores: Ultimato,Ação;Aventura,4
A Origem,Sci-Fi;Suspense,5
O Cavaleiro das Trevas,Ação;Crime,5
Forrest Gump,Drama;Romance,5
O Senhor dos Anéis: O Retorno do Rei,Fantasia;Aventura,5
O Rei Leão,Animação;Família,5
A Viagem de Chihiro,Animação;Aventura,4
O Labirinto do Fauno,Fantasia;Drama,4
Amnésia,Mistério;Suspense,4
Clube da Luta,Drama;Suspense,5
Seven: Os Sete Crimes Capitais,Mistério;Suspense,4
A Lista de Schindler,Drama;Guerra,5
A Felicidade Não se Compra,Fantasia;Drama,3
De Volta para o Futuro,Sci-Fi;Aventura,5
Star Wars: O Império Contra-Ataca,Sci-Fi;Aventura,5
Parasita,Drama;Suspense,5
Coringa,Crime;Drama,4
O Fabuloso Destino de Amélie Poulain,Comédia;Romance,4
Toy Story,Animação;Comédia,5
O Iluminado,Terror;Suspense,4
Blade Runner 2049,Sci-Fi;Suspense,4
Um Sonho de Liberdade,Drama,5
Gênio Indomável,Drama,4
O Sexto Sentido,Suspense;Drama,4
Gladiador,Ação;Drama,5
O Lobo de Wall Street,Biografia;Comédia,4
O Grande Lebowski,Comédia;Crime,3
O Feitiço do Tempo,Comédia;Fantasia,4
O Silêncio dos Inocentes,Crime;Drama,5
E.T. O Extraterrestre,Sci-Fi;Família,4
O Auto da Compadecida,Comédia;Aventura,5
Cidade de Deus,Crime;Drama,5
Tropa de Elite,Ação;Drama,4
Central do Brasil,Drama,3
O Homem das Estrelas,Documentário,3
O Cheiro do Ralo,Comédia;Drama,2
Bacurau,Drama;Suspense,4
Que Horas Ela Volta?,Comédia;Drama,4
O Auto da Compadecida,Comédia;Aventura,5
O Pagador de Promessas,Drama,1
Doutor Estranho,Ação;Aventura,4
Star Wars: Uma Nova Esperança,Sci-Fi;Aventura,5
O Exterminador do Futuro 2,Sci-Fi;Ação,4
V de Vingança,Ação;Drama,4
Wall-E,Animação;Aventura,5
Titanic,Drama;Romance,4
Senhor dos Anéis: A Sociedade do Anel,Fantasia;Aventura,5
A Morte te Dá Parabéns,Comédia;Terror,2
Onde os Fracos Não Têm Vez,Crime;Drama,4
Babel,Drama,3
Divertida Mente,Animação;Família,5
O Labirinto,Fantasia;Musical,2
Psicopata Americano,Terror;Suspense,3
Kill Bill: Volume 1,Ação;Crime,4
A Rede Social,Biografia;Drama,4
Django Livre,Faroeste;Drama,5
O Grande Gatsby,Drama;Romance,3
Capitão América: Guerra Civil,Ação;Aventura,4
Homem-Aranha: No Aranhaverso,Animação;Ação,5
O Show de Truman,Comédia;Drama,4
O Cidadão Kane,Drama;Mistério,5
2001: Uma Odisseia no Espaço,Sci-Fi;Aventura,5
Laranja Mecânica,Sci-Fi;Drama,4
O Curioso Caso de Benjamin Button,Drama;Fantasia,4
O Cavaleiro das Trevas Ressurge,Ação;Crime,4
Harry Potter e o Prisioneiro de Azkaban,Fantasia;Aventura,5
A Chegada,Sci-Fi;Drama,4
A Noiva Cadáver,Animação;Fantasia,3
O Hobbit: Uma Jornada Inesperada,Fantasia;Aventura,4
Cães de Aluguel,Crime;Drama,5
O Resgate,Ação;Suspense,3
A Pantera Negra,Ação;Sci-Fi,4
O Diabo Veste Prada,Comédia;Drama,3
Toy Story 4,Animação;Aventura,5
Procurando Nemo,Animação;Aventura,4
Up: Altas Aventuras,Animação;Aventura,5
Uma Mente Brilhante,Biografia;Drama,4
O Segredo dos Seus Olhos,Mistério;Suspense,5
O Enigma de Outro Mundo,Terror;Sci-Fi,3
A Grande Aposta,Biografia;Comédia,4
Onde os Fracos Não Têm Vez,Crime;Drama,4
Whiplash: Em Busca da Perfeição,Drama;Música,5
O Pianista,Biografia;Drama,5
Bastardos Inglórios,Guerra;Aventura,4
A Bela e a Fera,Animação;Fantasia,4
Ratatouille,Animação;Comédia,5
Como Treinar o seu Dragão,Animação;Aventura,5
A Teoria de Tudo,Biografia;Drama,4
O Lado Bom da Vida,Comédia;Drama,4
Spotlight: Segredos Revelados,Biografia;Drama,5
Mad Max: Estrada da Fúria,Ação;Sci-Fi,5
A Vida é Bela,Comédia;Drama,5
O Estranho Mundo de Jack,Animação;Fantasia,4
O Último Samurai,Ação;Aventura,3
